episode,win,reward,length,opponent
230,0,(2210.4935116027987+0j),1830,random
231,1,(699.8169954818358+0j),439,random
232,1,(1176.3233488154217+0j),845,random
233,1,(5516.489104053213+0j),4239,random
234,1,(890.4733590974051+0j),648,random
235,0,(8224.83788213884+0j),5309,random
236,1,(951.9979434863408+0j),577,random
237,1,(3531.060168732174+0j),2669,random
238,1,(1339.9679686105185+0j),822,random
239,1,(775.5586287265402+0j),453,random
240,1,(1246.5257060200618+0j),848,random
241,1,(628.1545963182078+0j),430,random
242,1,(634.8039203811526+0j),448,random
243,1,(6579.069697046631+0j),4478,random
244,1,(627.6567021587198+0j),476,random
245,1,(3316.2097116260234+0j),2466,random
246,1,(3786.9060374998044+0j),2898,random
247,1,(839.1037869622992+0j),646,random
248,1,(2135.750567143613+0j),1574,random
249,1,(1339.9297427296142+0j),938,random
250,1,(1313.6600593253734+0j),846,random
251,1,(2780.72516023896+0j),1835,random
252,1,(695.7808139427952+0j),505,random
253,1,(3692.9864429995437+0j),3201,random
254,1,(522.2852459089793+0j),339,random
255,1,(636.4975158881236+0j),401,random
256,1,(4653.1116088565195+0j),3746,random
257,0,(2682.6764402453546+0j),1983,random
258,1,(4584.819187766433+0j),3165,random
259,1,(2264.647355910129+0j),1713,random
260,0,(4408.42295416066+0j),2953,random
261,1,(1766.7647011624413+0j),1263,random
262,1,(1199.2983589015864+0j),740,random
263,1,(3337.227896734398+0j),2568,random
264,1,(2381.7404837470704+0j),1591,random
265,0,(6327.879172901905+0j),5599,random
266,1,(1039.282206104776+0j),602,random
267,1,(1373.8175052442207+0j),1085,random
268,1,(3078.9097596548327+0j),2372,random
269,1,(1403.6153751466547+0j),1024,random
270,1,(695.3535170845587+0j),410,random
271,1,(840.2910449100318+0j),675,random
272,1,(6002.653137332726+0j),4446,random
273,1,(561.8684488545982+0j),374,random
274,1,(2151.136573741657+0j),1558,random
275,1,(2183.0887262979304+0j),1413,random
276,1,(5206.45981312749+0j),4222,random
277,1,(1809.6010165776984+0j),1075,random
278,1,(4512.212977406333+0j),3438,random
279,1,(868.4850315179037+0j),616,random
280,1,(854.4507954836548+0j),607,random
281,1,(1573.024254259406+0j),1054,random
282,1,(881.3976303710718+0j),549,random
283,1,(731.6800956786991+0j),467,random
284,1,(579.2694016646496+0j),310,random
285,1,(693.1800276152694+0j),443,random
286,0,(6978.336600475931+0j),5440,random
287,1,(617.3864505734067+0j),419,random
288,1,(712.8073733742601+0j),502,random
289,1,(812.0828046348978+0j),555,random
290,1,(915.6544459871583+0j),597,random
291,1,(520.6823926015719+0j),293,random
292,0,(6174.60714998073+0j),4923,random
293,1,(1094.382074766165+0j),630,random
294,1,(4569.692864659836+0j),3206,random
295,1,(850.208413873139+0j),460,random
296,1,(612.9259936274257+0j),443,random
297,1,(1306.375943349229+0j),807,random
298,1,(4216.54592260617+0j),2817,random
299,1,(3601.576771797645+0j),2675,random
300,1,(1326.6344442192765+0j),960,random
301,1,(991.406852240255+0j),590,random
302,1,(839.4861410425567+0j),541,random
303,1,(4242.855204086022+0j),3156,random
304,1,(1790.325974469194+0j),1188,random
305,1,(1227.5807735327007+0j),849,random
306,1,(687.3015749311028+0j),623,random
307,1,(557.7466395138636+0j),367,random
308,1,(5918.260647820108+0j),3981,random
309,1,(935.2773914536949+0j),589,random
310,1,(5028.406066688732+0j),3735,random
311,1,(875.830562561907+0j),540,random
312,1,(1105.1207190509463+0j),813,random
313,1,(909.9019931597029+0j),681,random
314,1,(1322.914482978762+0j),868,random
315,0,(2277.651380476471+0j),2015,random
316,0,(7305.956745032259+0j),6223,random
317,1,(710.9505339800966+0j),468,random
318,1,(952.520854785711+0j),659,random
319,1,(610.1790497539446+0j),366,random
320,1,(5471.264104964719+0j),3806,random
321,1,(6422.504312438106+0j),4675,random
322,1,(1342.458192622127+0j),900,random
323,1,(1321.2466667387614+0j),837,random
324,1,(1187.9195496830978+0j),759,random
325,1,(677.5063118063904+0j),536,random
326,1,(1221.0047200726788+0j),695,random
327,0,(5376.7303513278985+0j),4940,random
328,1,(823.5365853405932+0j),550,random
329,1,(881.3337553769235+0j),552,random
330,0,(8303.026736223781+0j),5796,random
331,1,(533.4039180737707+0j),395,random
332,1,(2813.049182797168+0j),1980,random
333,1,(794.8208758358822+0j),490,random
334,1,(2591.553242890817+0j),2127,random
335,0,(1622.9700132994647+0j),1339,random
336,1,(2065.505112231641+0j),1515,random
337,1,(681.0662231442536+0j),546,random
338,1,(2196.332526512348+0j),1662,random
339,0,(7078.338588610184+0j),5297,random
340,0,(6719.6682567747075+0j),5469,random
341,0,(9241.506516390447+0j),6535,random
342,1,(2293.446507091239+0j),1639,random
343,1,(907.949568204885+0j),624,random
344,1,(974.460960348481+0j),733,random
345,1,(722.5797542683811+0j),460,random
346,1,(5282.586534587646+0j),3874,random
347,1,(1207.980516926267+0j),901,random
348,1,(1131.0630833485802+0j),827,random
349,1,(1999.42560368831+0j),1679,random
350,1,(1324.860632666643+0j),743,random
351,1,(918.7192699110019+0j),559,random
352,1,(749.9034627988899+0j),539,random
