episode,win,reward,length,opponent
365,0,75.45710205909583,4729,random
366,1,338.75478547581844,2189,random
367,1,-73.51246794937992,4135,random
368,1,176.8461639822507,848,random
369,1,121.20843041934074,367,random
370,0,475.0342644010018,6585,random
371,1,87.04003392707702,520,random
372,1,253.87424749289318,1248,random
373,1,152.41277996604347,3969,random
374,0,64.07212515482925,4712,random
375,0,525.0964289118252,6085,random
376,1,205.98390551409875,1066,random
377,0,-124.58387966538878,5246,random
378,0,75.95895268674435,4705,random
379,1,147.66135340958726,659,random
380,1,134.7658982094715,523,random
381,1,122.79409123243028,644,random
382,1,197.05892756805233,2793,random
383,0,58.37566056656891,4622,random
384,1,140.5687715406877,796,random
385,1,140.75994516312912,554,random
386,1,221.16738440278442,1326,random
387,1,294.26147272014435,2199,random
388,1,270.6325547666634,4773,random
389,1,235.54941806776176,1434,random
390,0,143.94845138920775,5099,random
391,1,167.3323432646289,1287,random
392,1,134.27419669786474,538,random
393,1,119.83006858507699,556,random
394,1,200.21079712765626,2518,random
395,1,133.52178126039712,483,random
396,1,100.16281887203824,2611,random
397,0,305.3102796870201,4442,random
398,0,292.9538611944437,3989,random
399,1,191.0693734480587,4302,random
400,1,119.57535277206334,460,random
401,0,138.09119179303295,1206,random
402,1,155.94562846129568,792,random
403,1,93.35164874261423,2750,random
404,1,120.45454678088538,621,random
405,0,347.1463871141996,5981,random
406,1,132.92970306137735,590,random
407,1,115.0197019114392,431,random
408,1,258.15097864815857,2472,random
409,0,-114.82640896431077,3998,random
410,1,218.6772775656139,1403,random
411,1,138.55169980956515,2800,random
412,1,115.14853035770597,512,random
413,1,124.94471717470732,582,random
414,1,302.4278379120752,3302,random
415,1,144.80062152794946,792,random
416,1,175.01307788146164,1234,random
417,0,394.6560062089509,5320,random
418,1,248.29821433839692,1572,random
419,1,118.72334128442088,447,random
420,1,124.02288584725437,674,random
421,1,230.33085644834335,1744,random
422,1,155.89963809885657,2756,random
423,1,127.30352185710628,2438,random
424,1,189.75696134192913,849,random
425,1,134.92503197633445,538,random
426,1,127.74871621066322,535,random
427,1,175.59007024986002,754,random
428,1,146.27966557460852,852,random
429,1,285.46707462194433,1872,random
430,1,174.0891666975976,1143,random
431,1,146.92283083663457,4861,random
432,1,137.21248600147098,562,random
433,1,98.20518846073944,515,random
434,1,142.41878835869568,544,random
435,1,127.21295945874151,545,random
436,1,123.51061570562204,568,random
437,1,144.52179365251394,504,random
438,0,110.54821194202002,4895,random
439,1,150.9156262890767,1557,random
440,1,163.33049264585415,627,random
441,1,161.84882035003733,1049,random
442,1,128.37142585917405,1227,random
443,1,105.48192954388475,484,random
444,1,143.6727624482156,2043,random
445,1,103.42046460954069,313,random
446,1,157.18286573978176,991,random
447,0,298.8393351972946,6102,random
448,1,193.59668363680092,1013,random
449,1,94.23411997825008,238,random
450,1,138.9686554289891,557,random
451,0,-231.14342980607665,4714,random
452,1,175.68359677116575,3514,random
453,1,204.02973454890883,1078,random
454,1,200.9335556409676,1553,random
455,1,107.46045005716567,372,random
456,1,120.20294738155334,619,random
457,1,136.62517289767507,554,random
458,1,202.3183356614832,1485,random
459,1,158.57825227522642,663,random
460,1,100.6979097141593,350,random
461,1,219.6289924855433,1273,random
462,1,265.7524947677181,1380,random
463,1,98.61299497697917,2393,random
464,1,113.75840872475149,456,random
465,1,117.55029737393572,501,random
466,1,178.2576175736179,667,random
467,1,204.63119443171158,1192,random
468,1,115.83738059454734,437,random
469,1,155.48723538775798,588,random
470,1,121.87356790961483,2296,random
471,1,193.22374604594563,1020,random
472,0,-63.712020003590744,5144,random
473,1,187.30554192222846,1439,random
474,1,273.5778114016024,1582,random
475,0,238.91728564746393,1854,random
476,1,124.43376178301747,592,random
477,0,451.3920211369966,6673,random
478,1,202.21081800636418,5181,random
479,1,139.94648418807833,990,random
480,1,211.171160169207,1271,random
481,1,149.5448366932196,686,random
482,1,170.85892200332523,876,random
483,1,120.52379212866867,515,random
484,1,153.4702589864205,3001,random
485,1,158.14480396996893,755,random
486,1,96.7926687831531,388,random
487,1,81.46582330795474,432,random
488,1,128.36212913273374,498,random
489,1,163.00085034763867,776,random
490,1,114.7835384433109,3029,random
491,1,180.32675754094487,2655,random
492,1,181.95031347968364,2302,random
493,1,130.82070246123254,576,random
494,1,217.66008481030283,1215,random
495,1,118.81328584637515,343,random
496,1,75.81447117908131,1843,random
497,1,124.54337296361454,521,random
498,0,211.97269468123008,5240,random
499,0,38.89686131017613,5267,random
500,1,134.41105842069044,599,random
501,1,154.45977451652755,695,random
502,0,-274.72565698947295,5192,random
503,0,186.53421566581662,5565,random
504,1,178.61181638866546,4439,random
505,1,310.64150298899654,1755,random
506,1,138.60477204947296,638,random
507,1,110.50735073490601,438,random
508,1,129.68589514171046,544,random
509,1,165.81377935587207,1175,random
510,1,145.37054297977832,742,random
