episode,win,reward,length,opponent
225,0,(2403.603119659849+0j),1560,random
226,1,(864.5396152411864+0j),322,random
227,1,(951.2063705562725+0j),375,random
228,0,(1691.1935307436754+0j),1381,random
229,1,(945.0310407650295+0j),446,random
230,1,(643.5925731785829+0j),189,random
231,0,(2523.7519286597003+0j),2009,random
232,1,(1689.7471823728176+0j),1031,random
233,1,(1497.7071754852045+0j),734,random
234,1,(2046.5235573036307+0j),1247,random
235,1,(1395.7307380100174+0j),660,random
236,1,(880.2019664853805+0j),347,random
237,0,(2319.3223168187283+0j),1621,random
238,0,(1592.432532308774+0j),1546,random
239,0,(2464.37355074214+0j),1689,random
240,0,(2347.555420897868+0j),1849,random
241,1,(1081.900190851495+0j),454,random
242,1,(923.5069377256723+0j),438,random
243,1,(1815.394344191059+0j),1030,random
244,1,(1551.8501049486551+0j),799,random
245,1,(2588.8332236619926+0j),1410,random
246,1,(1758.221919175043+0j),883,random
247,0,(2277.215740109679+0j),1878,random
248,0,(881.2976264575408+0j),734,random
249,0,(2281.3478939164597+0j),1903,random
250,1,(2090.5124985724733+0j),1144,random
251,1,(1330.2761225771678+0j),723,random
252,0,(1551.3852943511142+0j),1320,random
253,1,(2064.396227413141+0j),1393,random
254,1,(1328.4748045392746+0j),644,random
255,1,(1629.3936205985547+0j),1006,random
256,1,(1044.1934842816431+0j),486,random
257,0,(1618.448688806186+0j),1682,random
258,1,(1145.6391868491269+0j),548,random
259,1,(1644.8797059409922+0j),982,random
260,0,(1838.069043126782+0j),1406,random
261,0,(2011.8110143387762+0j),1556,random
262,1,(1602.0358360388675+0j),878,random
263,0,(2736.8314462157564+0j),2079,random
264,0,(2057.3336588965462+0j),1488,random
265,0,(1982.9696724755934+0j),1636,random
266,0,(1914.0588901481042+0j),1450,random
267,1,(1133.0537759668969+0j),498,random
268,1,(1278.2208338297191+0j),559,random
269,1,(1565.340543958281+0j),777,random
270,1,(1781.3034945804893+0j),979,random
271,1,(1876.4409384045823+0j),1180,random
272,1,(2415.414102212317+0j),1739,random
273,1,(992.8916805016811+0j),345,random
274,1,(1109.0334049603744+0j),502,random
275,0,(1959.2026480035165+0j),1611,random
276,0,(2066.240909130745+0j),1446,random
277,1,(1071.3143699646353+0j),455,random
278,0,(1780.742128035468+0j),1549,random
279,1,(839.4714780612401+0j),285,random
280,1,(1276.5934511893388+0j),624,random
281,1,(1237.5530800499782+0j),566,random
282,0,(1847.3506363614333+0j),1457,random
283,1,(1703.6933583468908+0j),772,random
284,0,(1856.4577934593406+0j),1429,random
285,1,(1080.7581561870302+0j),434,random
286,0,(1871.6321349978573+0j),1368,random
287,0,(1743.2404471256282+0j),1350,random
288,1,(1425.1723801475086+0j),628,random
289,0,(2455.234360589131+0j),1800,random
290,1,(909.8153686451176+0j),352,random
291,1,(1516.3298987885826+0j),768,random
292,1,(1743.1215296943049+0j),863,random
293,1,(1686.3019047673529+0j),968,random
294,1,(1079.1178511701328+0j),505,random
295,0,(1660.1190192402767+0j),1358,random
296,1,(1464.7473977560958+0j),811,random
297,1,(987.3329453512118+0j),466,random
298,1,(1704.727399157181+0j),915,random
299,1,(1185.819648589054+0j),568,random
300,1,(2126.4754327937662+0j),1331,random
301,1,(1289.12777968831+0j),552,random
302,1,(1738.1053530397883+0j),942,random
303,1,(992.2943981644636+0j),385,random
304,1,(1449.1643094106496+0j),751,random
305,1,(2113.8450531000585+0j),1298,random
306,0,(1797.426828021428+0j),1549,random
307,0,(1724.1488933440935+0j),1559,random
308,1,(2192.7489611310853+0j),1159,random
309,0,(1714.4591383498744+0j),1498,random
310,0,(1587.4862503596373+0j),1533,random
311,0,(2485.6742613842525+0j),1602,random
312,0,(1561.8697384594027+0j),1467,random
313,1,(955.603796429606+0j),371,random
314,1,(1230.4034463316664+0j),685,random
315,1,(1243.5350937070666+0j),594,random
316,1,(1556.4500188683166+0j),655,random
317,1,(1135.6596201562697+0j),486,random
318,1,(911.3261316253418+0j),326,random
319,1,(841.2427886156296+0j),302,random
320,1,(1227.5974831895799+0j),746,random
321,1,(910.840914233005+0j),373,random
322,1,(814.422782271749+0j),307,random
323,0,(2081.385925322688+0j),1491,random
324,0,(1903.5523955492956+0j),1541,random
325,1,(2238.31462045549+0j),1114,random
326,1,(1548.0223389117737+0j),804,random
327,1,(655.8733389789134+0j),148,random
328,0,(2423.7384686683+0j),1549,random
329,1,(1004.5399133952151+0j),388,random
330,1,(827.4370375502531+0j),367,random
331,1,(1064.596169475808+0j),496,random
332,1,(854.7080864000908+0j),296,random
333,1,(2420.309281380019+0j),1360,random
334,1,(1036.5721105844514+0j),492,random
335,0,(2128.1445990438065+0j),1938,random
336,0,(2498.36392787091+0j),1929,random
337,1,(833.1596491557842+0j),272,random
338,1,(1927.3762162823602+0j),1067,random
339,1,(1766.7158529687617+0j),816,random
340,1,(2035.7200559127632+0j),1086,random
341,1,(1408.1691910427892+0j),639,random
342,1,(1052.2634047334698+0j),438,random
343,1,(1956.5226040503799+0j),1120,random
344,1,(1004.7728676114953+0j),446,random
345,0,(1927.9102544408795+0j),1509,random
346,1,(665.4086941619225+0j),210,random
347,1,(1676.349129503458+0j),835,random
348,1,(1445.989115678481+0j),603,random
349,1,(1502.881817058842+0j),712,random
350,1,(1041.7084838025744+0j),434,random
351,1,(2144.2210250631165+0j),1371,random
352,1,(2372.2834279229887+0j),1479,random
353,1,(805.7186171547243+0j),331,random
354,1,(2026.9012560728745+0j),1087,random
355,1,(2318.549356630253+0j),1214,random
356,0,(1557.1456041952165+0j),1398,random
357,1,(1687.6866889944645+0j),1071,random
358,1,(2369.327824462095+0j),1247,random
359,1,(1371.2060666270263+0j),631,random
360,0,(1689.0870918375492+0j),1353,random
361,0,(1747.2320736934707+0j),1664,random
362,1,(702.4168381847644+0j),180,random
363,1,(1795.4100398198827+0j),901,random
364,1,(2423.6811917476716+0j),1423,random
365,0,(1649.1546383791333+0j),1284,random
366,1,(862.3310009550436+0j),334,random
367,1,(2249.088637241672+0j),1203,random
368,1,(988.9208145792586+0j),464,random
369,0,(1809.1242870628232+0j),1432,random
370,1,(1295.5130577087602+0j),590,random
371,1,(837.4296726613389+0j),335,random
372,1,(959.032005738927+0j),390,random
373,0,(1980.1209149994552+0j),1546,random
374,1,(2387.5467845558233+0j),1160,random
375,1,(1735.8797909420377+0j),801,random
376,1,(2195.637242413947+0j),1416,random
377,1,(868.5737916167611+0j),311,random
378,1,(1809.8916641326432+0j),1027,random
379,0,(2002.2213781539265+0j),1499,random
380,1,(1345.3906826632442+0j),604,random
381,1,(1791.6051216862977+0j),932,random
382,0,(2865.687279271468+0j),1803,random
383,1,(1367.2516693414009+0j),754,random
384,0,(1532.4216828981826+0j),1258,random
385,0,(1790.5517246191625+0j),1482,random
386,1,(2185.021309316692+0j),1206,random
387,1,(1050.2107160428254+0j),516,random
388,0,(1917.0742864355984+0j),1551,random
389,0,(1938.8425860097698+0j),1405,random
390,1,(1303.7186044397472+0j),602,random
391,1,(1422.925164862764+0j),632,random
392,1,(740.7916944417768+0j),198,random
